designation,description,productid,imageid,prdtypecode,image_name,designation_clean,fname,image_rel
Lego® -Le Manège Sous-Marin Friends Jeux De Construction 41337 Multicolore,,4211078394,1316896303,1280,image_1316896303_product_4211078394.jpg,lego® manège sous marin friends jeux construction multicolore,image_1316896303_product_4211078394.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_1316896303_product_4211078394.jpg
Le Journal De Mickey N 126/ 1954,,49747548,855718390,2280,image_855718390_product_49747548.jpg,journal mickey,image_855718390_product_49747548.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_855718390_product_49747548.jpg
Cahier De Notes Sur...La Prisonnière Du Désert Édition École Et Cinema,,3564368264,1221500392,2403,image_1221500392_product_3564368264.jpg,cahier notes prisonnière désert école cinema,image_1221500392_product_3564368264.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_1221500392_product_3564368264.jpg
Pokemon - Tentacool Createur De Legende 66/92,50PV.,50048695,436947892,1160,image_436947892_product_50048695.jpg,pokemon tentacool createur legende,image_436947892_product_50048695.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_436947892_product_50048695.jpg
TILOS - Spa de nage a contre courant 420x220x130,Materiaux: ACRYLIQUE. 420x220x130. Couleurs Disponibles: AU CHOIX. Liste des Caractéristiques: Systeme BALBOA 14 Jets hydro fixes 2 5 Jets hydro rotatifs 5 14 Jets air 2&#39;&#39; 47 jets en acier chromés Réchauffeur 3000w Acces facile aux systéme 1 pompe air 1250w Bache isothérmique 10cm 1 pompe de circulation 750w 3 pompes de massage 1500w 1 pompe de massage 2250w 6 pompes au total soit 8750w Vidage latéral 15 Consommation max: 11250w Tablier aux choix Aromathérapie 3 régulateurs d&#39;eau Poids: 470kg 3 Régulateurs d&#39;eau Chromothérapie IPHONE BOX &#43; prise CD 2 appuis tête Générateur d&#39;ozone Arret pompes en cas de fuite Panneau de control digital Système anti gel Acrylique ARISTECH 14 Jets hydro orientables 35 Systéme de vérouillage . Liste des options: Couleur Spa : noir rouge blanc nuagé anthracite nuagé bleue clair nuagé blanc perle bleu. Couleur Tablier : pvc marron bois en pin de finlande clair bois en pin de finlande foncé bois hemlock pvc noir. Couleur Bache : rouge gris marron taupe vert bleue. Couleurs coton : .,2660100415,1155781599,2583,image_1155781599_product_2660100415.jpg,tilos spa nage contre courant,image_1155781599_product_2660100415.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_1155781599_product_2660100415.jpg
Pompe VIPool MPQ Triphasée 2.5 cv - 34 m3/h,,168344976,921249655,2583,image_921249655_product_168344976.jpg,pompe vipool mpq triphasée,image_921249655_product_168344976.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_921249655_product_168344976.jpg
Ensemble Matelas Epeda Orchidee 620 Ressorts Confort Medium 80x190,Ensemble Matelas Epeda ORCHIDEE Confort Medium : 26 cm - 5 Zones de Confort - Accueil Enveloppant - Soutien Ferme - 620 Ressorts ensachés &#43; viscoélastique - Associé au sommier Epeda Confort Medium de 16 cm à lattes souples bénéficiez d&#39;un confort morphol,3938616828,1266504695,1560,image_1266504695_product_3938616828.jpg,matelas epeda orchidee ressorts confort medium,image_1266504695_product_3938616828.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_1266504695_product_3938616828.jpg
Impression Créative Accueil Tapisserie Tenture Décoration Murale Serviette De Plage@Hpp6331,Impression créative Accueil Tapisserie Tenture Décoration murale Serviette de plage Caractéristiques: 100% qualité de la marque nouvelle et haute. Quantité: 1pc Matériel: Polyester Type: tapestryThis magnifique ¿uvre d&#39;art peut être utilisé comme table en tissu rideaux et mur Hanging.Also idéal pour prendre le long d&#39;un pique-nique ou à la plage. Pour votre confort il est imprimé main sur le coton en grande enfant free.These impressions merveilleuses sont un excellent moyen d&#39;ajouter de la couleur à votre lit le plafond et Art.Easy mur à transporter car il est léger et occupe très peu d&#39;espace quand vous vous couchez et emballer it.Drys rapides et des couleurs vives indiquées après le lavage. Il suffit de l&#39;accrocher à l&#39;extérieur pendant quelques minutes et vous pouvez rapidement l&#39;utiliser à nouveau. Sable ne vient pas à travers il vient tout de suite. Utilisation: Presque tous Party But Home Decor comme- tapisserie Tenture Couvre-lit décorations pour les murs Wall Art couverture de lit Diviseur Chambre Rideau linge de table S&#39;il vous plaît noter que légère différence de couleur devrait être acceptable en raison de la lumière et de l&#39;écran. Taille: 130x150cm / 51.2x59.1 &#39;&#39; Contenu de l&#39;emballage: 1pc Serviette de plage,4150985084,1301391405,1920,image_1301391405_product_4150985084.jpg,impression créative accueil tapisserie tenture décoration murale serviette plage hpp,image_1301391405_product_4150985084.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_1301391405_product_4150985084.jpg
Pochoir Plastique Animaux - Paquet De 6,,102358907,862537855,2522,image_862537855_product_102358907.jpg,pochoir animaux paquet,image_862537855_product_102358907.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_862537855_product_102358907.jpg
Lot Récit/Diptyque Complet Blake & Mortimer Les Sacrophages Du 6è Continent Eo Comme Neuf,,3289850219,1204440632,2403,image_1204440632_product_3289850219.jpg,récit diptyque blake mortimer sacrophages continent comme,image_1204440632_product_3289850219.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_1204440632_product_3289850219.jpg
